"time","pdcsap_flux","pdcsap_flux_arma"
1453.71050661689,1551.7811,1551.7811
1453.71189550158,1547.6809,1547.6809
1453.71328438627,1546.079,1546.079
1453.71467327094,1563.1714,1563.1714
1453.71606215562,1556.7133,1556.7133
1453.71745104032,1558.0756,1558.0756
1453.71883992501,1564.4381,1564.4381
1453.7202288097,1566.2504,1566.2504
1453.72161769439,1550.0065,1550.0065
1453.72300657908,1564.1835,1564.1835
1453.72439546377,1560.0189,1560.0189
1453.72578434843,1559.5714,1559.5714
1453.72717323312,1561.3099,1561.3099
1453.72856211781,1558.1443,1558.1443
1453.7299510025,1551.9009,1551.9009
1453.73133988719,1555.959,1555.959
1453.73272877188,1559.8956,1559.8956
1453.73411765657,1549.5758,1549.5758
1453.73550654126,1557.604,1557.604
1453.73689542598,1554.7666,1554.7666
1453.73828431067,1559.7799,1559.7799
1453.73967319536,1555.7415,1555.7415
1453.74106208005,1553.0875,1553.0875
1453.74245096474,1562.2729,1562.2729
1453.74383984943,1568.1,1568.1
1453.74522873412,1550.4628,1550.4628
1453.74661761881,1567.2534,1567.2534
1453.74800650353,1555.3463,1555.3463
1453.74939538822,1568.6915,1568.6915
1453.75078427291,1561.4305,1561.4305
1453.7521731576,1551.6621,1551.6621
1453.75356204229,1551.5493,1551.5493
1453.75495092701,1563.0503,1563.0503
1453.7563398117,1581.5752,1581.5752
1453.75772869639,1559.0852,1559.0852
1453.75911758108,1576.5991,1576.5991
1453.7605064658,1563.0022,1563.0022
1453.76189535049,1565.1593,1565.1593
1453.76328423518,1579.8201,1579.8201
1453.7646731199,1564.1863,1564.1863
1453.76606200459,1569.8971,1569.8971
1453.76745088931,1570.8156,1570.8156
1453.768839774,1567.1519,1567.1519
1453.77022865869,1577.2863,1577.2863
1453.77161754341,1569.5115,1569.5115
1453.7730064281,1550.8143,1550.8143
1453.77439531282,1565.2169,1565.2169
1453.77578419751,1569.6482,1569.6482
1453.77717308223,1567.2166,1567.2166
1453.77856196692,1566.3551,1566.3551
1453.77995085164,1578.1316,1578.1316
1453.78133973633,1569.9462,1569.9462
1453.78272862105,1566.4663,1566.4663
1453.78411750574,1576.0042,1576.0042
1453.78550639045,1577.2542,1577.2542
1453.78689527514,1575.8451,1575.8451
1453.78828415986,1570.8613,1570.8613
1453.78967304458,1589.183,1589.183
1453.79106192927,1565.9536,1565.9536
1453.79245081399,1567.0726,1567.0726
1453.79383969871,1578.6189,1578.6189
1453.7952285834,1565.2219,1565.2219
1453.79661746812,1571.9069,1571.9069
1453.79800635284,1584.2516,1584.2516
1453.79939523753,1582.5802,1582.5802
1453.80078412225,1565.7152,1565.7152
1453.80217300697,1589.4777,1589.4777
1453.80356189166,1572.1721,1572.1721
1453.80495077638,1560.8986,1560.8986
1453.8063396611,1575.1901,1575.1901
1453.80772854582,1566.1569,1566.1569
1453.80911743054,1573.7623,1573.7623
1453.81050631523,1576.9099,1576.9099
1453.81189519995,1571.7585,1571.7585
1453.81328408467,1569.8038,1569.8038
1453.81467296939,1576.2539,1576.2539
1453.8160618541,1578.4561,1578.4561
1453.81745073882,1565.226,1565.226
1453.81883962354,1563.5847,1563.5847
1453.82022850823,1569.2552,1569.2552
1453.82161739295,1575.0299,1575.0299
1453.82300627767,1567.7665,1567.7665
1453.82439516239,1567.7705,1567.7705
1453.82578404711,1580.2427,1580.2427
1453.82717293183,1571.2987,1571.2987
1453.82856181655,1561.4619,1561.4619
1453.82995070127,1570.2787,1570.2787
1453.83133958599,1575.0061,1575.0061
1453.83272847071,1568.4692,1568.4692
1453.83411735543,1562.6501,1562.6501
1453.83550624015,1572.901,1572.901
1453.83689512487,1585.7338,1585.7338
1453.83828400961,1569.406,1569.406
1453.83967289433,1573.4155,1573.4155
1453.84106177905,1571.0884,1571.0884
1453.84245066377,1570.9771,1570.9771
1453.84383954849,1570.6456,1570.6456
1453.84522843321,1571.4995,1571.4995
1453.84661731793,1568.751,1568.751
1453.84800620268,1568.1327,1568.1327
1453.8493950874,1564.0002,1564.0002
1453.85078397212,1578.5635,1578.5635
1453.85217285684,1563.89,1563.89
1453.85356174155,1561.3199,1561.3199
1453.8549506263,1550.9955,1550.9955
1453.85633951102,1558.8904,1558.8904
1453.85772839574,1558.3899,1558.3899
1453.85911728046,1562.9125,1562.9125
1453.86050616521,1559.9235,1559.9235
1453.86189504993,1557.1333,1557.1333
1453.86328393465,1562.9019,1562.9019
1453.8646728194,1562.2789,1562.2789
1453.86606170412,1565.0342,1565.0342
1453.86745058884,1552.5851,1552.5851
1453.86883947358,1569.7303,1569.7303
1453.8702283583,1568.4437,1568.4437
1453.87161724305,1549.1293,1549.1293
